FpML index and optional tenor,Forward curve,Discount curve
EUR-EURIBOR-Reuters 1M,EUR_EURIBOR_1M_EOD,EUR_EONIA_EOD
EUR-EURIBOR-Reuters 3M,EUR_EURIBOR_3M_EOD,EUR_EONIA_EOD
EUR-EURIBOR-Reuters 6M,EUR_EURIBOR_6M_EOD,EUR_EONIA_EOD
EUR-EONIA-OIS-COMPOUND,EUR_EONIA_EOD,EUR_EONIA_EOD
EUR,EUR_EURIBOR_EOD,EUR_EONIA_EOD


USD,LIBOR,1M,USD_LIBOR_1M_EOD,USD_FEDFUND_EOD
USD,LIBOR,3M,USD_LIBOR_3M_EOD,USD_FEDFUND_EOD
USD,LIBOR,6M,USD_LIBOR_6M_EOD,USD_FEDFUND_EOD
USD,OIS,USD_FEDFUND_EOD,USD_FEDFUND_EOD
USD,other,USD_LIBOR_EOD,USD_FEDFUND_EOD
GBP,1M,GBP_LIBOR_1M_EOD,GBP_SONIA_EOD
GBP,3M,GBP_LIBOR_3M_EOD,GBP_SONIA_EOD
GBP,6M,GBP_LIBOR_6M_EOD,GBP_SONIA_EOD
GBP,OIS,GBP_SONIA_EOD,GBP_SONIA_EOD
GBP,other,GBP_LIBOR_EOD,GBP_SONIA_EOD
CHF,3M,CHF_LIBOR_3M_EOD,CHF_LIBOR_EOD
CHF,6M,CHF_LIBOR_6M_EOD,CHF_LIBOR_EOD
CHF,OIS,CHF_TOIS_EOD,CHF_TOIS_EOD
CHF,other,CHF_LIBOR_EOD,CHF_LIBOR_EOD
JPY,3M,JPY_LIBOR_3M_EOD,JPY_LIBOR_EOD
JPY,6M,JPY_LIBOR_6M_EOD,JPY_LIBOR_EOD
JPY,other,JPY_LIBOR_EOD,JPY_LIBOR_EOD
others,all,ccy standard,ccy standard
